Invoice #	Invoice Date	Invoice Type	Invoice Cancel Date	Status	Invoice Amount	Order #	Order Date	Account Name	Code	Account TIN#	Cash Customer Name	Contact First Name	Contact Last Name	Round Off Amount	Invoice Round Off Amount	Short Amount	Realized Amount	HMCGL Card No	Campaign	B2B Purchase Order #	B2B Order Type	Invoice Header Type	Created By	Inventory Location	Packaging & Forwarding Charges	Tax on Package & Forwarding	Type of Tax P&F	IRN#	IRN Status	Ack#	Ack Date	Credit Note# (Canc.>24h)	IRN# (Canc.>24h)	IRN Status (Canc.>24h)	Ack# (Canc.>24h)	Ack Date (Canc.>24h)
"30305BC26P60487"	"24/03/2026 03:47:21 PM"	"Credit"		"Open"	"Rs.4,011.49"	"30305-02-PSAO-0326-85056"	"24/03/2026 11:15:11 AM"	"KHANDELWAL AUTOMOBILES"	"30305-01-DLR-0415-6"	"09407310935"				"(Rs.0.49)"	"Rs.4,011.00"	"Rs.4,011.00"	"Rs.0.00"					"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"250e13bcdf5294f6bf41d16471c39d93c309ac74c7b949fe3e8870eb7e96d929"	"ACT"	"142619849219727"	"24/03/2026 03:47:00 PM"					
"30305BC26P60486"	"24/03/2026 03:45:30 PM"	"Credit"		"Open"	"Rs.26,622.03"	"30305-02-PSAO-0326-84878"	"23/03/2026 12:11:47 PM"	"raav auto sales"	"30305-02-ARD-0415-8"	"09407704145"				"(Rs.0.03)"	"Rs.26,622.00"	"Rs.26,622.00"	"Rs.0.00"			"63691-03-PLPO-0326-39"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"6a897db03c59138bb124f09827b60a4335a3038f701f196c9e82bce6c145f23a"	"ACT"	"142619849195232"	"24/03/2026 03:46:00 PM"					
"30305BC26P60485"	"24/03/2026 03:43:51 PM"	"Credit"		"Open"	"Rs.625.66"	"30305-02-PSAO-0326-84617"	"21/03/2026 03:23:43 PM"	"ANSH AUTO SALES"	"30305-02-SSP-0525-2"					"Rs.0.34"	"Rs.626.00"	"Rs.626.00"	"Rs.0.00"			"24295-02-PLPO-0326-395"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"a3407e02e8f6b74c91ff41631c115041e7dc0bf5a80c40b1a067d2d76dcddc44"	"ACT"	"142619849170260"	"24/03/2026 03:44:00 PM"					
"30305BC26P60484"	"24/03/2026 03:42:35 PM"	"Credit"		"Open"	"Rs.12,521.71"	"30305-02-PSAO-0326-84628"	"21/03/2026 03:24:48 PM"	"M/S SHYAM AUTO SALES"	"30305-02-ARD-0225-10"					"Rs.0.29"	"Rs.12,522.00"	"Rs.12,522.00"	"Rs.0.00"			"63689-03-PLPO-0326-94"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"459abe66392a57c08b4e5812c916faa2d882f1af3dca792dfc5bb324dc55916f"	"ACT"	"142619849159984"	"24/03/2026 03:43:00 PM"					
"30305BC26P60483"	"24/03/2026 03:40:47 PM"	"Credit"		"Open"	"Rs.4,482.80"	"30305-02-PSAO-0326-84050"	"19/03/2026 06:19:06 PM"	"SUMITRA SONS"	"30305-02-DLR-0415-1"	"09909207184"				"Rs.0.20"	"Rs.4,483.00"	"Rs.4,483.00"	"Rs.0.00"					"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"ee8489639b2cc39b82c880f36cc884328d71935088a427c731c0c4b144d6152d"	"ACT"	"142619849136558"	"24/03/2026 03:41:00 PM"					
"30305BC26P60482"	"24/03/2026 03:38:30 PM"	"Credit"		"Open"	"Rs.137,784.87"	"30305-02-PSAO-0326-85006"	"23/03/2026 07:07:43 PM"	"SIYARAM AUTO SALES"	"30305-02-SSP-0423-1"					"Rs.0.13"	"Rs.137,785.00"	"Rs.137,785.00"	"Rs.0.00"			"23530-02-PLPO-0326-250"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"5065b1d908b3bbf29a3b030ccef35ee4fb65693a7530af8ca967d26ccb41dcfd"	"ACT"	"142619849112318"	"24/03/2026 03:39:00 PM"					
"30305BC26P60481"	"24/03/2026 03:37:14 PM"	"Credit"		"Open"	"Rs.16,790.49"	"30305-02-PSAO-0326-84906"	"23/03/2026 01:29:33 PM"	"VANI AUTO"	"30305-01-SSP-0415-2"	"09254241151"				"(Rs.0.49)"	"Rs.16,790.00"	"Rs.16,790.00"	"Rs.0.00"			"20887-02-PLPO-0326-345"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"51ccc9f12628b53a195e5804cf0f169268fab29c1164c7f09229454d36188176"	"ACT"	"142619849097277"	"24/03/2026 03:37:00 PM"					
"30305BC26P60480"	"24/03/2026 03:31:03 PM"	"Credit"		"Open"	"Rs.1,854.70"	"30305-02-PSAO-0326-83702"	"19/03/2026 10:22:20 AM"	"MOSARAM AUTO SALES"	"30305-01-DLR-0415-1"	"09754001507"				"Rs.0.30"	"Rs.1,855.00"	"Rs.1,855.00"	"Rs.0.00"			"10730-05-PLPO-0326-627"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"ec0c888093305a0bbd7fff76a0f25e012775423a8c9d990f2eb6b3048b22cdb2"	"ACT"	"142619849011240"	"24/03/2026 03:31:00 PM"					
"30305BC26P60479"	"24/03/2026 03:27:30 PM"	"Credit"		"Open"	"Rs.3,673.07"	"30305-02-PSAO-0326-84576"	"21/03/2026 02:21:57 PM"	"K.S.AUTOMOBILES"	"30305-01-SSP-0415-8"	"09609503695"				"(Rs.0.07)"	"Rs.3,673.00"	"Rs.3,673.00"	"Rs.0.00"			"20853-02-PLPO-0326-425"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"a3f372bdeaa5b5bf49caa0dffd0958aae2412fd43b4614b46a5ba0642c49041c"	"ACT"	"142619848962673"	"24/03/2026 03:28:00 PM"					
"30305BC26P60478"	"24/03/2026 03:26:14 PM"	"Credit"		"Open"	"Rs.3,104.49"	"30305-02-PSAO-0326-83777"	"19/03/2026 12:16:27 PM"	"P5 MOTORS"	"30305-02-DLR-1216-5"	"9950035350C"				"(Rs.0.49)"	"Rs.3,104.00"	"Rs.3,104.00"	"Rs.0.00"			"11617-03-PLPO-0326-254"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"23acdd387605534b69c29319c8123ad8f560323731390db3662ad12d55e9e59f"	"ACT"	"142619848944622"	"24/03/2026 03:26:00 PM"					
